Location,Movie Name,Timing,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied
Causeway Point,Ne-Zha-2-PG13,2025-03-09T13:05:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154188,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,93,51,44,0,0,2,0,0,137,53
Downtown East,Ne-Zha-2-PG13,2025-03-09T13:10:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118029,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,23,153,12,38,0,2,0,0,35,193
JEM,Ne-Zha-2-PG13,2025-03-09T13:15:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201761,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,80,46,30,2,0,0,0,0,110,48
Century Square,Dragon-Tamil-PG13,2025-03-09T13:15:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13202,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,11,89,0,10,0,2,0,4,11,105
Clementi 321,Ne-Zha-2-PG13,2025-03-09T13:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/5900,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,24,10,2,0,2,0,0,34,28
Century Square,Mickey-17-M18,2025-03-09T13:30:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13184,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,8,90,2,2,0,2,0,4,10,98
Century Square,Ne-Zha-2-PG13,2025-03-09T13:40:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13194,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,41,57,4,0,0,2,2,2,47,61
Downtown East,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-09T13:40:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118138,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,5,117,6,36,0,2,0,0,11,155
Clementi 321,Ne-Zha-2-PG13,2025-03-09T13:45:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6101,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,22,40,16,4,0,2,0,0,38,46
Causeway Point,Dragon-Tamil-PG13,2025-03-09T13:45:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154342,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,18,111,18,12,0,0,0,0,36,123
JEM,Close-Ur-Kopitiam-PG13,2025-03-09T13:50:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201886,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,29,97,18,14,0,0,0,0,47,111
