Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-24T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154969,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,116,4,50,0,2,0,0,14,168,182,0.08
JEM,Ne-Zha-2-PG13,2025-03-24T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202972,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,126,6,26,0,0,0,0,6,152,158,0.04
JEM,Close-Ur-Kopitiam-PG13,2025-03-24T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202376,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,52,32,2,22,0,0,0,0,54,54,108,0.5
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154961,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,2,200,0,42,0,2,0,0,2,244,246,0.01
JEM,Dog-Man-PG,2025-03-24T11:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202611,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,3,123,0,32,0,0,0,0,3,155,158,0.02
Causeway Point,Dog-Man-PG,2025-03-24T11:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154974,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,1,129,2,26,0,0,0,0,3,155,158,0.02
JEM,Ne-Zha-2-PG13,2025-03-24T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202744,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,172,0,36,0,1,0,0,2,209,211,0.01
JEM,Novocaine-NC16,2025-03-24T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202752,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,2,124,2,30,0,0,0,0,4,154,158,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-24T11:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154970,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,138,2,42,0,2,0,0,8,182,190,0.04
Causeway Point,Novocaine-NC16,2025-03-24T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154982,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,129,0,30,0,0,0,0,0,159,159,0.0
JEM,Ne-Zha-2-PG13,2025-03-24T12:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202541,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,166,4,32,0,1,0,0,12,199,211,0.06
Causeway Point,Ne-Zha-2-PG13,2025-03-24T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154978,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,144,4,40,0,0,0,0,4,184,188,0.02
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154963,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,4,122,0,54,0,2,0,0,4,178,182,0.02
Clementi 321,Ne-Zha-2-PG13,2025-03-24T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6549,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,66,2,18,0,2,0,0,10,86,96,0.1
Clementi 321,A-Looney-Tunes-Movie-PG,2025-03-24T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6944,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-24T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6552,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,1,47,0,12,0,2,0,0,1,61,62,0.02
